"","x"
"1",0.0155740439324046
"2",0.0299346234521104
"3",0.186036937392677
"4",0.293181007583125
"5",0.293419185899489
"6",0.276803042423577
"7",0.263164263873857
"8",0.303684940644548
"9",0.462057203611977
"10",1.34011581191725
"11",1.41355771194693
"12",1.55872793324939
"13",1.40367793576267
"14",1.41143926474455
"15",1.27210361258257
"16",1.17048855330982
"17",1.05757513878149
"18",0.989397689152535
"19",1.03124023997933
"20",0.968759811132499
"21",0.910225517912578
"22",0.939888708357764
"23",0.997190378940329
"24",0.924609098591419
"25",0.930423880537014
"26",0.928470662057972
"27",1.0102683651168
"28",0.952015716014876
"29",0.864289929080943
"30",0.815139780651066
"31",0.747054293188493
"32",1.06626573512831
"33",1.00087920927878
"34",1.11236428929677
"35",1.01209032480645
"36",0.916039687141592
"37",0.831186681959521
"38",1.10574172137735
"39",1.780172416076
"40",1.61205513896821
"41",1.55035928514651
"42",1.39655896557152
"43",1.322313348182
"44",1.19812763122217
"45",1.11444223414843
"46",1.25872593666882
"47",1.13595278447821
"48",1.03051033452421
"49",0.947731468633518
"50",1.05755671888266
"51",0.956387559387641
"52",0.960266616194106
"53",0.892148620844812
"54",0.966182447644993
"55",0.880474574573707
"56",1.27477278924678
"57",1.30380413218109
"58",1.19224349098576
"59",1.0799674082314
"60",0.983277309222105
"61",1.08951956770514
"62",1.02912620157978
"63",0.93301134409918
"64",0.904395743814039
"65",1.02112345975545
"66",0.92646055683247
"67",0.896123060675799
"68",1.19620520910965
"69",1.11045651657272
"70",1.01716980323411
"71",1.32791771718437
"72",1.38027127734823
"73",1.24653735973253
"74",1.12772319853225
"75",1.09675113386223
"76",1.06742751014431
"77",0.996351996085225
"78",0.917105656932134
"79",0.89606846430392
"80",0.913503466039624
"81",0.829890068604228
"82",0.782867852546996
"83",0.776512467805808
"84",0.734591048902131
"85",0.905697938894844
"86",1.00696960299564
"87",1.44048739730644
"88",1.5153683409088
"89",1.79620496190468
"90",1.61519649877222
"91",1.45496320060868
"92",1.3453346328128
"93",1.52738563098865
"94",1.65639120796159
"95",1.62337195580993
"96",1.47886523989415
"97",1.33351868601881
"98",1.2527896477693
"99",1.23504295251122
"100",1.13643463933613
"101",1.03006412819413
"102",0.9345843906179
"103",0.997194901328311
"104",0.945429541040826
"105",0.895511145300931
"106",0.855734830937212
"107",0.784061518049113
"108",1.41953899220233
"109",1.86132493115949
"110",1.68392331453228
"111",1.58950329252533
"112",1.43584675364221
"113",1.47809716823517
"114",1.35801318494684
"115",1.22682743832294
"116",1.15426201675187
"117",1.07942882573225
"118",1.00993407175505
"119",0.925739590094935
"120",0.854954573806901
"121",0.781772102538138
"122",0.718535729314214
"123",0.66768934064841
"124",0.615922161762943
"125",0.736274013354791
"126",0.710941757700456
"127",0.736082460392115
"128",0.780769674762399
"129",0.713748504081928
"130",0.69914812596164
"131",0.639435696313962
"132",0.676760568652801
"133",0.619582846451533
"134",0.576585539437605
"135",0.533571955194585
"136",0.546026784129785
"137",0.591750226798931
"138",0.579068288127284
"139",0.562802024348029
"140",0.516237503726226
"141",0.476430448510335
"142",0.520301740069001
"143",0.479570583104261
"144",0.520946032359154
"145",0.714583411443353
"146",0.684352630598087
"147",0.842213879342408
"148",0.796382974924902
"149",1.14890115646314
"150",1.15495134702526
"151",1.34588402286653
"152",1.29515725546091
"153",1.20296805591046
"154",1.62000503002397
"155",1.45845653770299
"156",1.32742011129443
"157",1.20310042847057
"158",1.16559015481798
"159",1.05973959548033
"160",0.972885247162895
"161",0.898953915067013
"162",1.20205526156306
"163",1.09177038422008
"164",0.999655346167175
"165",1.14404269119255
"166",1.03341963571215
"167",1.10772611655964
"168",1.11050137736312
"169",1.05859710333139
"170",1.03662594863508
"171",0.946934730976117
"172",0.904404982732577
"173",0.827743898198165
"174",0.76185314620101
"175",0.777092524387529
"176",0.710518096835493
"177",0.647653560351819
"178",0.592436570143279
"179",0.543994107628692
"180",0.53963354742565
"181",0.499308082456558
"182",0.588647930487321
"183",0.543666562142405
